prompt	comparison	samples	id_identity	first_divergence	max_abs_logprob_delta	verdict
accumulator	self-C	4	held	-	0.000e+00	held
accumulator	self-K	4	held	-	0.000e+00	held
accumulator	candidate-vs-control	4	held	-	0.000e+00	held
constraints	self-C	4	held	-	0.000e+00	held
constraints	self-K	4	held	-	0.000e+00	held
constraints	candidate-vs-control	4	held	-	0.000e+00	held
list-transform	self-C	4	held	-	0.000e+00	held
list-transform	self-K	4	held	-	0.000e+00	held
list-transform	candidate-vs-control	4	held	-	0.000e+00	held
stack	self-C	4	held	-	0.000e+00	held
stack	self-K	4	held	-	0.000e+00	held
stack	candidate-vs-control	4	held	-	0.000e+00	held
state-machine	self-C	4	held	-	0.000e+00	held
state-machine	self-K	4	held	-	0.000e+00	held
state-machine	candidate-vs-control	4	held	-	0.000e+00	held
variable-trace	self-C	4	held	-	0.000e+00	held
variable-trace	self-K	4	held	-	0.000e+00	held
variable-trace	candidate-vs-control	4	held	-	0.000e+00	held
-	overall	-	-	-	-	held
